timestamp,L1.V,L1.P,L1.Q,L1.S,L1.I,L1.PF,F,measure_cons
2022-02-20T03:54:00.000Z,228.4,213.6,112.6,241.4,1.192,0.884,50,213.6
2022-02-20T03:55:00.000Z,228.3,213.6,111.8,241.1,1.191,0.886,50,213.6
2022-02-20T03:56:00.000Z,229.2,213.8,114.6,242.5,1.192,0.881,50,213.8
2022-02-20T03:57:00.000Z,231.3,216.5,120.7,247.8,1.203,0.873,50,216.5
2022-02-20T03:58:00.000Z,231.4,216.1,121.2,247.8,1.204,0.872,49.9,216.1
2022-02-20T03:59:00.000Z,231.5,215.8,121.5,247.5,1.202,0.871,49.9,215.8
2022-02-20T04:00:00.000Z,231.5,215.4,121.6,247.3,1.2,0.871,49.9,215.4
2022-02-20T04:01:00.000Z,231.3,216.5,120.6,247.8,1.205,0.873,50,216.5
2022-02-20T04:02:00.000Z,231.3,214.8,121.3,246.7,1.199,0.871,49.9,214.8
2022-02-20T04:03:00.000Z,231.4,214.9,121.6,246.9,1.199,0.87,49.9,214.9
2022-02-20T04:04:00.000Z,231.5,215.4,121.7,247.4,1.201,0.87,49.9,215.4
2022-02-20T04:05:00.000Z,231.1,216.1,120,247.1,1.203,0.874,50,216.1
2022-02-20T04:06:00.000Z,230.8,215.2,119.4,246.1,1.199,0.874,50,215.2
2022-02-20T04:07:00.000Z,231,215,119.5,245.9,1.199,0.874,50,215
2022-02-20T04:08:00.000Z,231.2,214.7,120.5,246.2,1.199,0.872,50,214.7
2022-02-20T04:09:00.000Z,231.2,215.3,120.1,246.4,1.2,0.873,50,215.3
2022-02-20T04:10:00.000Z,231.1,218,116.6,247.1,1.203,0.881,50,218
2022-02-20T04:11:00.000Z,231,217.8,116,246.7,1.2,0.882,49.9,217.8
2022-02-20T04:12:00.000Z,230.9,217.7,115.7,246.5,1.199,0.883,49.9,217.7
2022-02-20T04:13:00.000Z,230.9,217.6,115.9,246.5,1.199,0.882,49.9,217.6
2022-02-20T04:14:00.000Z,231,217.8,116,246.7,1.2,0.882,49.9,217.8
2022-02-20T04:15:00.000Z,230.9,217.6,115.9,246.5,1.199,0.882,49.9,217.6
2022-02-20T04:16:00.000Z,231,217.8,115.9,246.6,1.198,0.882,49.9,217.8
2022-02-20T04:17:00.000Z,230.9,217.7,116.8,247,1.202,0.881,49.9,217.7
2022-02-20T04:18:00.000Z,231.1,216.3,119.2,246.9,1.202,0.876,50,216.3
2022-02-20T04:19:00.000Z,231.6,321.1,240,401,1.871,0.801,50,321.1
2022-02-20T04:20:00.000Z,231.4,331.6,290.1,440.6,1.979,0.752,50,331.6
2022-02-20T04:21:00.000Z,231.7,318.2,293.2,432.7,1.943,0.735,49.9,318.2
2022-02-20T04:22:00.000Z,231.9,318.7,290.9,431.5,1.937,0.738,49.9,318.7
2022-02-20T04:23:00.000Z,231.7,330.3,288.8,438.7,1.969,0.752,49.9,330.3
2022-02-20T04:24:00.000Z,231.6,332.7,288.1,440.1,1.975,0.756,50,332.7
2022-02-20T04:25:00.000Z,231.6,332.9,288.5,440.5,1.976,0.755,50,332.9
2022-02-20T04:26:00.000Z,231.5,334.6,288.2,441.5,1.981,0.757,49.9,334.6
2022-02-20T04:27:00.000Z,231.4,334.9,287.8,441.5,1.982,0.758,49.9,334.9
2022-02-20T04:28:00.000Z,231.2,334.3,286.5,440.1,1.979,0.759,49.9,334.3
2022-02-20T04:29:00.000Z,231,333.9,285.6,439.4,1.977,0.76,49.9,333.9
2022-02-20T04:30:00.000Z,231.1,332.9,286,438.8,1.974,0.758,49.9,332.9
2022-02-20T04:31:00.000Z,230.9,332.9,285.6,438.6,1.975,0.759,49.9,332.9
2022-02-20T04:32:00.000Z,231,331.8,286.2,438.1,1.972,0.757,49.9,331.8
2022-02-20T04:33:00.000Z,230.9,331.8,286,438,1.972,0.757,49.9,331.8
2022-02-20T04:34:00.000Z,230.8,331.7,284.1,436.6,1.969,0.759,49.9,331.7
2022-02-20T04:35:00.000Z,231.1,331.9,286,438,1.971,0.757,50,331.9
2022-02-20T04:36:00.000Z,231.5,290.2,221.9,366.8,1.685,0.803,50,290.2
2022-02-20T04:37:00.000Z,231.9,217.1,119.8,247.9,1.201,0.875,50,217.1
2022-02-20T04:38:00.000Z,231,215.9,119.6,246.9,1.203,0.874,50,215.9
2022-02-20T04:39:00.000Z,230.8,215.5,119.3,246.3,1.202,0.875,50,215.5
2022-02-20T04:40:00.000Z,230.6,215,118.9,245.6,1.199,0.875,49.9,215
2022-02-20T04:41:00.000Z,230.4,214.4,118.7,245,1.197,0.875,49.9,214.4
2022-02-20T04:42:00.000Z,230.3,215.3,118.1,245.6,1.201,0.876,49.9,215.3
2022-02-20T04:43:00.000Z,230.2,215.1,117.7,245.1,1.199,0.877,49.9,215.1
2022-02-20T04:44:00.000Z,230.7,215,118,245.2,1.196,0.876,50,215
2022-02-20T04:45:00.000Z,231.4,215.2,121,246.8,1.198,0.871,50,215.2
2022-02-20T04:46:00.000Z,231.4,216.3,120.7,247.6,1.202,0.873,50,216.3
